X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
0.00046654,9.9924e-05,1.1132e-05,1.29893e-10,8.11139e-17,67,4599,4599,0.000125982,-2.96666e-05,-3.24428e-06
0.000177159,5.22769e-05,1.92795e-05,1.29624e-10,8.11145e-17,24,4600,4600,0.000132625,-1.10735e-05,6.60451e-07
0.000359564,0.00010973,2.17326e-05,1.29023e-10,8.11175e-17,51,4713,4713,0.000221487,3.97589e-05,-8.32034e-07
0.000503925,7.84236e-05,2.14572e-05,1.29347e-10,8.11154e-17,73,4823,4823,0.000249477,-6.55385e-05,4.5745e-08
0.000625165,5.97446e-05,1.70276e-05,1.29159e-10,8.1117e-17,90,4931,4931,0.000267178,-2.02604e-06,-4.76434e-07
0.000239737,9.42555e-05,1.68407e-05,1.29502e-10,8.11143e-17,35,5005,5005,0.000132118,3.70919e-05,-1.85965e-06
0.000704222,6.29541e-05,1.75627e-05,1.29255e-10,8.11162e-17,100,5133,5133,0.000281218,-2.50959e-07,1.44257e-06
0.000126206,5.47369e-05,2.43755e-05,1.29483e-10,8.11155e-17,18,5213,5213,0.000128306,-2.96465e-06,1.8986e-06
0.000523933,8.50772e-05,1.92542e-05,1.28803e-10,8.11183e-17,75,5291,5291,0.000146045,-4.14609e-05,1.18646e-06
0.000524889,6.98755e-05,1.11757e-05,1.29398e-10,8.11154e-17,75,5307,5307,0.000197546,-8.00942e-05,5.03036e-06
0.000573669,5.90532e-05,2.61143e-05,1.29212e-10,8.11161e-17,82,5312,5312,0.000162438,-1.96048e-06,-2.69149e-07
0.000631981,6.23908e-05,2.36443e-05,1.29056e-10,8.11174e-17,90,5353,5353,0.000232758,-5.75568e-07,-1.3199e-06
0.000185895,7.26284e-05,1.10214e-05,1.28953e-10,8.11174e-17,27,5358,5358,0.000188931,4.60688e-05,2.75236e-06
0.000574688,6.47441e-05,8.15425e-06,1.29344e-10,8.11161e-17,82,5441,5441,0.000211407,-3.47628e-06,9.26809e-07
0.000143449,5.98262e-05,2.63736e-05,1.29301e-10,8.1116e-17,20,5522,5522,0.000165937,1.82253e-07,1.85724e-07
0.000405898,9.71989e-05,2.14049e-05,1.28907e-10,8.11182e-17,59,5567,5567,0.000129327,-3.31576e-05,-3.46785e-06
0.00016578,5.33453e-05,1.10636e-05,1.29536e-10,8.11148e-17,22,5687,5687,0.000129701,-6.84055e-06,-6.82513e-07
3.95337e-05,5.38358e-05,9.10177e-06,1.29124e-10,8.11173e-17,4,5691,5691,0.000118086,8.75009e-07,-1.94658e-06
0.000125935,6.22824e-05,1.48378e-05,1.29285e-10,8.1116e-17,18,5706,5706,0.000280371,1.55902e-06,2.80824e-06
0.00028763,0.000102705,9.89561e-06,1.28962e-10,8.1118e-17,41,5711,5711,0.000176308,4.65952e-05,1.62051e-06
0.000254321,4.31852e-05,1.37737e-05,1.29279e-10,8.11161e-17,36,5840,5840,9.0788e-05,-2.43173e-05,-8.21904e-07
0.000297284,9.75137e-05,2.37828e-05,1.28982e-10,8.1117e-17,43,6012,6012,0.000217323,5.76011e-05,9.5676e-07
0.000114811,7.34398e-05,2.38517e-05,1.29663e-10,8.11139e-17,17,6075,6075,0.000118587,2.29798e-06,8.1872e-07
0.00047045,3.91536e-05,2.16726e-05,1.28884e-10,8.11171e-17,66,6108,6108,7.6435e-05,1.9674e-05,-9.00745e-08
0.000451965,9.02698e-05,1.26789e-05,1.29269e-10,8.11161e-17,65,6175,6175,0.000245479,-6.46306e-05,-1.30017e-06
0.000367591,0.000116992,1.15357e-05,1.29461e-10,8.1116e-17,53,6255,6255,0.000245171,-1.17801e-05,1.74457e-06
0.000107915,6.18796e-05,1.56095e-05,1.2923e-10,8.11164e-17,14,6284,6284,0.000283018,-2.59678e-06,7.60363e-07
0.000167225,6.66254e-05,2.67099e-05,1.29715e-10,8.11149e-17,22,6344,6344,0.000161626,1.24032e-05,4.70479e-07
0.00045109,0.000100185,1.23217e-05,1.29181e-10,8.11163e-17,65,6431,6431,0.000216563,-5.75448e-05,-8.08808e-07
0.000710239,6.30671e-05,2.44869e-05,1.28999e-10,8.1117e-17,102,6527,6527,0.000213024,2.81777e-07,-1.33406e-06
0.000593372,6.79899e-05,2.56002e-05,1.28844e-10,8.1118e-17,85,6605,6605,0.000178927,-9.44501e-07,-1.68993e-06
0.000330571,0.000109262,1.23601e-05,1.292e-10,8.11165e-17,47,6789,6789,0.000258401,7.05629e-05,-8.37837e-07
0.000400921,0.000103151,2.55453e-05,1.29181e-10,8.1117e-17,57,6801,6801,0.0001474,-3.8628e-05,-1.37552e-06
0.000640336,5.46229e-05,1.18472e-05,1.29419e-10,8.11164e-17,92,6805,6805,0.000175175,-4.49996e-07,-3.61945e-07
0.000513941,4.93385e-05,1.31538e-05,1.29189e-10,8.11158e-17,72,6937,6937,8.76821e-05,2.44786e-05,-2.87236e-06
0.000714621,7.25666e-05,2.09912e-05,1.28983e-10,8.11169e-17,103,7067,7067,0.000184134,-9.24757e-07,-3.73452e-07
0.000658137,5.62403e-05,1.63197e-05,1.29011e-10,8.11174e-17,94,7076,7076,0.000221943,1.39196e-06,1.99749e-06
0.000198415,6.74359e-05,2.17615e-05,1.29387e-10,8.11153e-17,29,7129,7129,0.000197915,7.29047e-05,-6.02044e-07
