X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
0.000177075,5.22836e-05,1.92792e-05,1.29478e-10,8.11158e-17,24,4600,4600,0.000135522,-1.02903e-05,7.91743e-08
0.000359424,0.000109705,2.17332e-05,1.29082e-10,8.11166e-17,51,4713,4713,0.000226931,4.10905e-05,-1.04338e-06
0.000503767,7.84653e-05,2.14572e-05,1.29306e-10,8.1116e-17,73,4823,4823,0.000256419,-6.79478e-05,6.27253e-08
0.000624996,5.97457e-05,1.70278e-05,1.29174e-10,8.11166e-17,90,4931,4931,0.000275686,-1.43373e-06,-2.31169e-07
0.000239653,9.42321e-05,1.68418e-05,1.29392e-10,8.11157e-17,35,5005,5005,0.000136974,3.77179e-05,-1.5851e-06
0.000704044,6.29543e-05,1.7562e-05,1.29235e-10,8.11163e-17,100,5133,5133,0.00029012,-3.01885e-07,1.01814e-06
0.000126125,5.47384e-05,2.43746e-05,1.29366e-10,8.11161e-17,18,5213,5213,0.000131239,-1.79365e-06,1.06124e-06
0.000523841,8.51032e-05,1.92535e-05,1.28948e-10,8.11169e-17,75,5291,5291,0.000149088,-4.15274e-05,1.0608e-06
0.000524764,6.9926e-05,1.11726e-05,1.29335e-10,8.1116e-17,75,5307,5307,0.000203716,-8.16041e-05,4.79438e-06
0.000573567,5.90544e-05,2.61144e-05,1.29209e-10,8.11161e-17,82,5312,5312,0.000166731,-1.65705e-06,-3.52457e-08
0.000631834,6.23911e-05,2.3645e-05,1.29104e-10,8.11168e-17,90,5353,5353,0.000238833,-3.66173e-07,-9.06087e-07
0.000185776,7.25995e-05,1.10198e-05,1.29036e-10,8.11166e-17,27,5358,5358,0.000193485,4.65109e-05,2.52838e-06
0.000574555,6.47462e-05,8.15374e-06,1.29299e-10,8.11163e-17,82,5441,5441,0.000215115,-3.24025e-06,6.56305e-07
0.000143344,5.98261e-05,2.63735e-05,1.29266e-10,8.11163e-17,20,5522,5522,0.00017013,1.08335e-07,1.32304e-07
0.000405815,9.72202e-05,2.14067e-05,1.2901e-10,8.1117e-17,59,5567,5567,0.000133941,-3.5065e-05,-2.21861e-06
0.000165698,5.33492e-05,1.1064e-05,1.29405e-10,8.11158e-17,22,5687,5687,0.000132744,-5.57156e-06,-3.78542e-07
3.94594e-05,5.38353e-05,9.10283e-06,1.2915e-10,8.11168e-17,4,5691,5691,0.000119881,7.02795e-07,-1.36595e-06
0.000125757,6.22815e-05,1.48364e-05,1.29262e-10,8.11163e-17,18,5706,5706,0.000288965,1.17128e-06,1.74931e-06
0.000287519,0.000102676,9.89474e-06,1.29042e-10,8.1117e-17,41,5711,5711,0.000179795,4.77306e-05,1.13889e-06
0.000254264,4.32006e-05,1.37741e-05,1.29252e-10,8.11163e-17,36,5840,5840,9.26824e-05,-2.48272e-05,-5.56576e-07
0.000297147,9.74773e-05,2.37823e-05,1.29056e-10,8.11165e-17,43,6012,6012,0.000222986,5.92478e-05,6.13201e-07
0.000114736,7.34387e-05,2.38512e-05,1.29489e-10,8.11155e-17,17,6075,6075,0.000122768,1.38104e-06,6.28845e-07
0.000470402,3.9141e-05,2.16727e-05,1.2901e-10,8.11165e-17,66,6108,6108,7.79994e-05,2.04252e-05,-8.18882e-08
0.00045181,9.03107e-05,1.26796e-05,1.29244e-10,8.11161e-17,65,6175,6175,0.000251269,-6.65581e-05,-8.99853e-07
0.000367436,0.000116999,1.15347e-05,1.29361e-10,8.11164e-17,53,6255,6255,0.000252448,-1.02692e-05,1.21716e-06
0.000107736,6.1881e-05,1.56091e-05,1.2922e-10,8.11164e-17,14,6284,6284,0.000291362,-1.70414e-06,5.05886e-07
0.000167123,6.66177e-05,2.67097e-05,1.29535e-10,8.11159e-17,22,6344,6344,0.000165242,1.20633e-05,1.92914e-07
0.000450953,0.000100222,1.23222e-05,1.29189e-10,8.11163e-17,65,6431,6431,0.000222957,-5.93056e-05,-6.0899e-07
0.000710104,6.30669e-05,2.44876e-05,1.29071e-10,8.11166e-17,102,6527,6527,0.000219757,1.73322e-07,-8.56265e-07
0.00059326,6.79904e-05,2.56011e-05,1.28967e-10,8.11168e-17,85,6605,6605,0.000182057,-6.38815e-07,-1.15668e-06
0.000330407,0.000109217,1.23606e-05,1.29208e-10,8.11164e-17,47,6789,6789,0.000266076,7.21825e-05,-6.50839e-07
0.000400828,0.000103176,2.55461e-05,1.29175e-10,8.11166e-17,57,6801,6801,0.000150129,-3.9514e-05,-9.4737e-07
0.000640226,5.46232e-05,1.18474e-05,1.29343e-10,8.11165e-17,92,6805,6805,0.00017812,-3.45344e-07,-2.47773e-07
0.000513886,4.93231e-05,1.31556e-05,1.29196e-10,8.1116e-17,72,6937,6937,8.91954e-05,2.47798e-05,-2.82662e-06
0.000714505,7.2567e-05,2.09915e-05,1.29063e-10,8.11164e-17,103,7067,7067,0.000186999,-5.29264e-07,-2.99012e-07
0.000657996,5.62395e-05,1.63186e-05,1.29079e-10,8.11166e-17,94,7076,7076,0.000228144,9.02017e-07,1.369e-06
0.00019829,6.739e-05,2.1762e-05,1.29331e-10,8.11159e-17,29,7129,7129,0.000202716,7.44025e-05,-8.87526e-07
0.000471855,8.9763e-05,2.18776e-05,1.29221e-10,8.11163e-17,67,7166,7166,0.000255582,-6.79046e-05,4.34173e-07
0.000466335,9.36875e-05,2.08353e-05,1.29216e-10,8.11163e-17,67,7187,7187,0.000254687,-7.03047e-05,-5.30993e-07
0.000548385,4.93004e-05,1.06878e-05,1.29073e-10,8.11168e-17,78,7198,7198,5.46564e-05,5.86885e-06,-1.97126e-06
0.000511783,8.48217e-05,1.92522e-05,1.29195e-10,8.11161e-17,73,7494,7494,0.000230756,-6.07109e-05,4.13272e-07
0.00048909,8.23646e-05,1.48469e-05,1.29221e-10,8.11162e-17,69,7505,7505,0.000281668,-7.52138e-05,8.42112e-07
6.86724e-05,6.47479e-05,1.70933e-05,1.2919e-10,8.11164e-17,8,7594,7594,0.000290792,8.41894e-07,1.37485e-06
0.000498937,7.48009e-05,1.15496e-05,1.29121e-10,8.11165e-17,71,7621,7621,0.000192945,-5.04434e-05,-1.01332e-06
0.000397905,9.86836e-05,9.28967e-06,1.29139e-10,8.11163e-17,57,7658,7658,7.68171e-05,-2.03113e-05,-2.33475e-07
0.000373507,0.000120288,1.9932e-05,1.29396e-10,8.11158e-17,53,7690,7690,0.000236754,-4.04652e-05,2.83939e-07
0.000566924,5.92834e-05,1.12295e-05,1.29228e-10,8.11162e-17,80,7743,7743,0.000233197,-2.98203e-06,-5.62578e-07
1.08897e-05,7.50802e-05,2.02766e-05,1.29146e-10,8.11164e-17,1,7752,7752,0.000125756,-1.42191e-06,2.50299e-06
1.19388e-05,6.44709e-05,2.03418e-05,1.29147e-10,8.11163e-17,0,7780,7780,0.000279947,-1.75644e-06,1.45814e-06
4.31208e-05,7.26199e-05,8.73429e-06,1.29341e-10,8.11163e-17,7,7853,7853,0.000129319,3.33372e-08,-7.86236e-07
0.000701529,5.62069e-05,2.61655e-05,1.2962e-10,8.1116e-17,100,8066,8066,0.00012481,-1.39036e-07,8.34215e-08
0.000551123,7.40073e-05,2.2432e-05,1.29184e-10,8.11164e-17,79,8076,8076,0.000167719,-3.63841e-05,1.32948e-06
0.000327507,0.000116849,1.08241e-05,1.28759e-10,8.11176e-17,47,8197,8197,0.000116761,2.94712e-05,-3.21581e-07
3.68608e-05,5.84801e-05,2.31366e-05,1.29306e-10,8.11162e-17,4,8201,8201,0.000219011,2.36767e-07,-6.34857e-07
0.000481055,3.85105e-05,1.98912e-05,1.29216e-10,8.11163e-17,68,8244,8244,9.79872e-05,2.60824e-05,-3.75425e-07
0.000306979,9.47721e-05,1.99199e-05,1.29489e-10,8.11156e-17,43,8312,8312,0.000219143,5.80686e-05,1.07494e-06
0.000408246,0.000109376,1.86337e-05,1.29196e-10,8.11164e-17,59,8313,8313,0.000277552,-7.60474e-05,-1.6483e-06
0.000673885,7.01442e-05,1.83741e-05,1.29043e-10,8.11166e-17,97,8325,8325,0.000248372,4.0077e-07,-5.3463e-07
0.000415821,0.000100331,2.01314e-05,1.29159e-10,8.11162e-17,59,8379,8379,0.000257502,-7.0653e-05,-6.74159e-07
8.45522e-05,5.90182e-05,1.20986e-05,1.29256e-10,8.11163e-17,12,8408,8408,0.000248919,-4.43695e-07,6.43738e-07
0.000542305,7.07827e-05,7.81088e-06,1.29269e-10,8.11162e-17,77,8433,8433,0.00015876,-4.18935e-05,-2.45705e-06
0.000649419,5.42418e-05,1.62314e-05,1.29272e-10,8.11163e-17,92,8466,8466,0.000192883,-5.40558e-07,2.39234e-07
7.7853e-05,6.64467e-05,1.64611e-05,1.29192e-10,8.11161e-17,10,8662,8662,0.000283852,4.98409e-07,-3.15594e-06
0.000320668,2.06277e-05,1.5741e-05,1.29237e-10,8.11163e-17,44,8778,8778,0.000116392,-3.12356e-05,1.25425e-07
0.000556322,6.33109e-05,1.11391e-05,1.29318e-10,8.11163e-17,78,8832,8832,0.000231632,-1.92953e-05,-4.36109e-06
0.000357953,0.000122252,2.17516e-05,1.29146e-10,8.11165e-17,51,9086,9086,0.000179852,3.44982e-05,1.56949e-06
0.000445411,0.000104761,1.08308e-05,1.2908e-10,8.11168e-17,63,9191,9191,0.000145269,-4.10309e-05,1.03697e-07
0.000544528,6.6005e-05,2.78548e-05,1.29473e-10,8.11158e-17,78,9312,9312,0.000100686,-2.56852e-05,6.02945e-06
0.000603807,7.24215e-05,1.13201e-05,1.28898e-10,8.1117e-17,87,9338,9338,0.000175902,5.54156e-07,-2.72108e-07
0.000187982,5.46177e-05,1.72412e-05,1.29226e-10,8.11162e-17,26,9397,9397,0.000161944,6.52673e-06,-9.80939e-07
0.0004358,0.000102707,1.05342e-05,1.29051e-10,8.11164e-17,63,9405,9405,0.000220944,-5.94297e-05,-5.32695e-07
0.00041786,0.000108167,2.29478e-05,1.29344e-10,8.11159e-17,59,9436,9436,0.000209775,-5.81701e-05,7.74232e-07
0.000102236,5.61859e-05,1.92343e-05,1.29036e-10,8.11168e-17,14,9487,9487,0.000224822,2.06274e-07,2.32223e-08
3.53639e-05,6.64182e-05,2.73969e-05,1.2942e-10,8.11158e-17,4,9489,9489,0.000154503,1.66424e-06,2.0012e-07
0.00025118,7.82814e-05,2.10777e-05,1.29292e-10,8.11161e-17,35,9491,9491,0.000171684,4.64271e-05,1.87654e-06
0.000209453,6.87347e-05,2.17827e-05,1.29039e-10,8.11166e-17,29,9508,9508,0.000191853,7.82313e-05,5.32792e-06
0.000622007,6.93589e-05,1.95418e-05,1.29335e-10,8.11161e-17,89,9645,9645,0.000252925,-4.96742e-07,6.81833e-07
0.000440902,9.31024e-05,1.0467e-05,1.2917e-10,8.11161e-17,63,9649,9649,0.000217424,-5.97955e-05,9.27754e-07
0.000292242,9.09308e-05,8.86303e-06,1.29053e-10,8.11166e-17,41,9935,9935,0.000151753,4.12118e-05,1.10266e-06
9.53392e-05,6.39082e-05,1.20551e-05,1.29231e-10,8.11162e-17,12,10020,10020,0.000273015,2.09083e-07,1.2766e-06
0.000613194,6.51529e-05,1.94678e-05,1.29309e-10,8.11162e-17,88,10024,10024,0.000281851,1.27456e-06,-5.45229e-07
0.000282089,9.36211e-05,1.04545e-05,1.29006e-10,8.11168e-17,41,10053,10053,0.000237156,6.49315e-05,-1.39105e-07
0.000335523,0.000107338,2.21738e-05,1.29107e-10,8.11166e-17,47,10199,10199,0.000246888,6.56397e-05,-2.06103e-06
0.000104267,7.19918e-05,1.11637e-05,1.29153e-10,8.11164e-17,15,10300,10300,0.000183867,1.08876e-08,5.23915e-07
0.000159317,5.65021e-05,1.37625e-05,1.29292e-10,8.11162e-17,22,10329,10329,0.000222503,1.07522e-06,-8.18684e-07
0.000163017,6.52484e-05,2.02652e-05,1.29297e-10,8.11162e-17,22,10362,10362,0.00027085,1.03189e-05,-3.43449e-06
0.000433657,9.79319e-05,2.42804e-05,1.29016e-10,8.11166e-17,61,10390,10390,0.000214884,-5.72668e-05,3.57423e-07
0.000363782,0.000106789,1.52991e-05,1.29213e-10,8.1116e-17,53,10602,10602,0.000192882,1.6963e-05,1.61843e-06
0.00039509,0.000109213,8.46196e-06,1.29457e-10,8.11161e-17,57,10672,10672,0.000204448,-5.40931e-05,-4.41407e-08
0.000595475,5.9011e-05,2.01978e-05,1.29134e-10,8.11162e-17,84,10775,10775,0.00025257,-5.14825e-07,-4.98662e-07
0.000156134,6.7493e-05,1.14652e-05,1.29409e-10,8.11159e-17,23,10921,10921,0.000247117,1.41505e-06,3.33525e-07
0.000284809,0.000100866,2.49521e-05,1.29173e-10,8.11168e-17,41,11038,11038,0.000163078,4.37927e-05,-1.03975e-07
0.000113555,6.02542e-05,2.3627e-05,1.29079e-10,8.11163e-17,16,11146,11146,0.000229001,-1.34397e-07,-1.34376e-06
6.15327e-05,7.39216e-05,1.70552e-05,1.29435e-10,8.11156e-17,9,11236,11236,0.000172129,1.56153e-06,-7.54956e-07
0.000681759,7.22769e-05,1.47059e-05,1.29235e-10,8.11162e-17,99,11261,11261,0.000207827,-2.48675e-07,-1.84187e-06
0.000365284,8.84795e-06,2.05847e-05,1.29211e-10,8.11164e-17,52,11323,11323,8.94434e-05,-3.33436e-06,4.72666e-07
5.98407e-05,6.23937e-05,1.49478e-05,1.29257e-10,8.11162e-17,8,11342,11342,0.00028769,3.20967e-06,1.22567e-06
0.0006056,5.6988e-05,2.01235e-05,1.29204e-10,8.11163e-17,86,11401,11401,0.000232468,1.31653e-06,3.95536e-07
2.55641e-05,5.90125e-05,1.20332e-05,1.29138e-10,8.11162e-17,2,11581,11581,0.000247912,1.09833e-06,4.4693e-08
0.000532356,7.25959e-05,5.54203e-06,1.28868e-10,8.1117e-17,77,11589,11589,0.000113638,-3.81022e-05,1.14144e-06
0.000515145,7.79131e-05,2.21246e-05,1.29285e-10,8.1116e-17,73,11643,11643,0.000247632,-7.0085e-05,1.2766e-06
0.000219158,7.04451e-05,2.05837e-05,1.29463e-10,8.1116e-17,31,11750,11750,0.000195585,5.83055e-05,1.4045e-06
0.000468032,8.54255e-05,1.13884e-05,1.29101e-10,8.1117e-17,67,11842,11842,0.000224445,-5.86902e-05,2.04792e-07
0.000543437,7.40949e-05,2.05169e-05,1.29357e-10,8.1116e-17,79,12037,12037,0.000204523,-5.25978e-05,-4.82495e-07
0.000533805,7.1411e-05,2.34356e-05,1.29394e-10,8.11159e-17,77,12108,12108,0.000200688,-6.84142e-05,-6.37261e-07
0.000492103,8.76308e-05,2.28024e-05,1.29358e-10,8.11159e-17,71,12161,12161,0.000223851,-5.86794e-05,-8.88585e-07
0.000640879,5.94184e-05,2.91482e-05,1.29266e-10,8.11164e-17,92,12174,12174,9.4232e-05,7.87493e-08,-1.65355e-07
0.000182195,5.97998e-05,2.30648e-05,1.29257e-10,8.11161e-17,26,12187,12187,0.000183561,1.30464e-05,-5.593e-06
4.40147e-05,6.30436e-05,1.10148e-05,1.29183e-10,8.11163e-17,6,12376,12376,0.000261488,-1.22727e-06,9.45165e-07
0.000353503,0.000120233,1.34374e-05,1.29033e-10,8.11169e-17,51,12504,12504,0.000224862,5.28575e-05,-1.04127e-06
0.000588247,5.33777e-05,2.02433e-05,1.29425e-10,8.11161e-17,84,12554,12554,0.000156527,-1.06495e-06,9.09463e-07
0.000249108,9.49468e-05,1.93992e-05,1.29099e-10,8.11162e-17,35,12634,12634,0.000171509,4.56043e-05,-1.18162e-06
0.000235225,8.86377e-05,2.32891e-05,1.29069e-10,8.11165e-17,33,12695,12695,0.000178867,4.6254e-05,-6.57216e-07
0.000405476,0.000114637,9.55562e-06,1.29457e-10,8.11156e-17,57,12715,12715,0.000147209,-3.92271e-05,4.98398e-07
0.000155247,7.30459e-05,2.2337e-05,1.29532e-10,8.11157e-17,23,12781,12781,0.000156826,1.6217e-06,1.00969e-06
0.000124199,6.62117e-05,2.60285e-05,1.29184e-10,8.11162e-17,16,12855,12855,0.000190542,1.07783e-06,-7.47151e-07
0.000108962,5.17103e-05,1.16431e-05,1.28924e-10,8.11171e-17,14,12928,12928,9.80633e-05,6.19356e-07,-7.55138e-07
0.000244828,4.15184e-05,1.82999e-05,1.29165e-10,8.11163e-17,34,12956,12956,0.000115385,-3.12549e-05,2.28292e-07
5.44344e-05,6.83113e-05,1.10446e-05,1.29195e-10,8.11161e-17,7,13063,13063,0.000235115,-5.05221e-08,2.14732e-08
0.000398269,0.00011087,1.75229e-05,1.29286e-10,8.11161e-17,57,13064,13064,0.000285691,-7.74879e-05,9.03828e-07
0.000459344,9.78296e-05,1.86908e-05,1.29007e-10,8.1117e-17,65,13162,13162,0.000249283,-6.86577e-05,4.64566e-07
0.000697474,6.01904e-05,1.14882e-05,1.29191e-10,8.11162e-17,100,13253,13253,0.000252872,1.99506e-07,1.2917e-06
